MSA,in_center_city,total_commuters,main_city_commuters,total_commuters_2011,main_city_commuters_2011,commuter_rate_2018,commuter_rate_2011,Change in Commuter Rate from 2011 to 2018,Change in Total Commuters,,,,,,
"New York-Newark-Jersey City, NY-NJ-PA",TRUE,3459697,2956912,2973100,2529318,0.85467369,0.85073425,0.4%,17%,,,,,,
"Cleveland-Elyria, OH",FALSE,748641,167489,705442,155116,0.223724055,0.219884838,0.4%,8%,,,,,,
"Santa Maria-Santa Barbara, CA",FALSE,121666,9490,106366,7894,0.078000427,0.074215445,0.4%,20%,,,,,,
"Huntington-Ashland, WV-KY-OH",FALSE,79438,17987,79051,17607,0.226428158,0.22272963,0.4%,2%,,,,,,
"Manchester-Nashua, NH",FALSE,139183,15050,129077,13513,0.108131022,0.104689449,0.3%,11%,,,,,,
"Atlanta-Sandy Springs-Roswell, GA",FALSE,2102802,347883,1776715,288827,0.16543783,0.162562369,0.3%,20%,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA",TRUE,289941,180878,246001,152777,0.623844161,0.621042191,0.3%,18%,,,,,,
"Sioux Falls, SD",FALSE,39851,28111,33724,23696,0.705402625,0.702645001,0.3%,19%,,,,,,
"Wichita, KS",FALSE,107703,54632,102770,51896,0.50724678,0.504972268,0.2%,5%,,,,,,
"Boulder, CO",FALSE,99516,20969,91040,19030,0.210709836,0.209028998,0.2%,10%,,,,,,
"Duluth, MN-WI",FALSE,76259,22091,73550,21259,0.289683841,0.289041468,0.1%,4%,,,,,,
"St. Cloud, MN",FALSE,61779,16416,57225,15175,0.265721362,0.265181302,0.1%,8%,,,,,,
"Dallas-Fort Worth-Arlington, TX",TRUE,544725,248761,447561,204175,0.456672633,0.456194798,0.0%,22%,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL",FALSE,208113,818,177368,621,0.003930557,0.003501195,0.0%,32%,,,,,,
"Baltimore-Columbia-Towson, MD",FALSE,972851,167501,908787,156114,0.17217539,0.171782827,0.0%,7%,,,,,,
"Orlando-Kissimmee-Sanford, FL",FALSE,944871,180008,751323,142855,0.190510662,0.19013793,0.0%,26%,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI",FALSE,2958150,526166,2758389,490715,0.177869953,0.177899129,0.0%,7%,,,,,,
"Kansas City, MO-KS",FALSE,706141,154858,632311,138790,0.219301811,0.219496419,0.0%,12%,,,,,,
"San Francisco-Oakland-Hayward, CA",TRUE,431307,264973,352800,216881,0.614348944,0.614742063,0.0%,22%,,,,,,
"Las Vegas-Henderson-Paradise, NV",TRUE,236049,71276,197649,59892,0.301954255,0.303022024,-0.1%,19%,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA",TRUE,68471,18347,57187,15388,0.267952856,0.269082134,-0.1%,19%,,,,,,
"Albany-Schenectady-Troy, NY",FALSE,318475,66966,299133,63253,0.210270822,0.211454437,-0.1%,6%,,,,,,
"Oklahoma City, OK",TRUE,246750,177285,218788,157488,0.718480243,0.7198201,-0.1%,13%,,,,,,
"Las Vegas-Henderson-Paradise, NV",FALSE,646557,120526,528407,99427,0.186412026,0.188163669,-0.2%,21%,,,,,,
"Davenport-Moline-Rock Island, IA-IL",FALSE,103578,20349,103972,20635,0.196460638,0.198466895,-0.2%,-1%,,,,,,
"Greeley, CO",FALSE,86353,10255,63682,7700,0.118756731,0.120913288,-0.2%,33%,,,,,,
"Boulder, CO",TRUE,27431,12100,24734,10965,0.441106777,0.443316892,-0.2%,10%,,,,,,
"Trenton, NJ",TRUE,30394,5984,25810,5140,0.196880963,0.199147617,-0.2%,16%,,,,,,
"Fayetteville-Springdale-Rogers, AR-MO",TRUE,23383,7395,18314,5839,0.316255399,0.318827127,-0.3%,27%,,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",FALSE,2051430,252434,1940062,243813,0.1230527,0.125672788,-0.3%,4%,,,,,,
"Pittsburgh, PA",FALSE,866535,180283,845846,178263,0.208050454,0.21075113,-0.3%,1%,,,,,,
"Lakeland-Winter Haven, FL",FALSE,210555,30076,168250,24610,0.142841538,0.146270431,-0.3%,22%,,,,,,
"Cincinnati, OH-KY-IN",FALSE,818043,140876,740823,130183,0.172210996,0.175727535,-0.4%,8%,,,,,,
"Rochester, NY",FALSE,369133,89356,353615,86883,0.242069931,0.245699419,-0.4%,3%,,,,,,
"Madison, WI",FALSE,175248,77833,164602,73725,0.444130603,0.447898567,-0.4%,6%,,,,,,
"Bridgeport-Stamford-Norwalk, CT",FALSE,324580,13175,305571,13727,0.040590917,0.044922457,-0.4%,-4%,,,,,,
"Atlanta-Sandy Springs-Roswell, GA",TRUE,192867,88563,151463,70234,0.459192086,0.463704007,-0.5%,26%,,,,,,
"Richmond, VA",FALSE,461520,87308,411752,79757,0.1891749,0.193701549,-0.5%,9%,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI",TRUE,1079913,700463,973409,635788,0.648629103,0.653156073,-0.5%,10%,,,,,,
"Los Angeles-Long Beach-Anaheim, CA",TRUE,1456928,753847,1272091,664030,0.517422275,0.521998819,-0.5%,14%,,,,,,
"Claremont-Lebanon, NH-VT",FALSE,69682,5542,68815,5790,0.079532734,0.084138633,-0.5%,-4%,,,,,,
"Asheville, NC",TRUE,24558,11682,22051,10593,0.475690203,0.480386377,-0.5%,10%,,,,,,
"Riverside-San Bernardino-Ontario, CA",FALSE,1513646,71911,1244989,65125,0.047508466,0.052309699,-0.5%,10%,,,,,,
"Harrisburg-Carlisle, PA",FALSE,208118,24846,196308,24456,0.119384196,0.124579742,-0.5%,2%,,,,,,
"Visalia-Porterville, CA",FALSE,100139,16143,91282,15197,0.161205924,0.166484082,-0.5%,6%,,,,,,
"Hickory-Lenoir-Morganton, NC",FALSE,122029,17845,112483,17053,0.146235731,0.151605131,-0.5%,5%,,,,,,
"Youngstown-Warren-Boardman, OH-PA",FALSE,174346,16554,177391,17806,0.094949124,0.100377133,-0.5%,-7%,,,,,,
"Lafayette, LA",TRUE,36321,20798,38779,22423,0.572616393,0.578225328,-0.6%,-7%,,,,,,
"Columbus, OH",FALSE,531006,211137,467673,188682,0.397616976,0.403448563,-0.6%,12%,,,,,,
