CITY,CITY_ID,CITY_population,MSA,MSA_ID,MSA_population
Salem,4164900,115000,"Salem, OR",41420,295000
Allentown,4202000,84000,"Allentown-Bethlehem-Easton, PA-NJ",10900,705000
Erie,4224000,85000,"Erie, PA",21500,280000
Harrisburg,4232800,34000,"Harrisburg-Carlisle, PA",25420,550000
Lancaster,4241216,45000,"Lancaster, PA",29540,415000
Philadelphia,4260000,955000,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,4760000
Pittsburgh,4261000,290000,"Pittsburgh, PA",38300,2410000
Reading,4263624,68000,"Reading, PA",39740,385000
Scranton,4269000,73000,"Scranton--Wilkes-Barre--Hazleton, PA",42540,625000
York,4287048,34000,"York-Hanover, PA",49620,390000
Providence,4459000,120000,"Providence-Warwick, RI-MA",39300,1150000
Charleston,4513330,100000,"Charleston-North Charleston, SC",16700,500000
Columbia,4516000,130000,"Columbia, SC",17900,600000
Greenville,4530850,61000,"Greenville-Anderson-Mauldin, SC",24860,625000
Myrtle Beach,4549075,22000,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,315000
Sioux Falls,4659020,125000,"Sioux Falls, SD",43620,255000
Chattanooga,4714000,120000,"Chattanooga, TN-GA",16860,385000
Kingsport,4739560,42000,"Kingsport-Bristol-Bristol, TN-VA",28700,250000
Knoxville,4740000,135000,"Knoxville, TN",28940,650000
Memphis,4748000,400000,"Memphis, TN-MS-AR",32820,870000
Nashville-Davidson metropolitan government (balance),4752006,445000,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,1290000
Austin,4805000,565000,"Austin-Round Rock, TX",12420,1250000
Beaumont,4807000,73000,"Beaumont-Port Arthur, TX",13140,275000
Brownsville,4810768,115000,"Brownsville-Harlingen, TX",15180,260000
Corpus Christi,4817000,205000,"Corpus Christi, TX",18580,295000
Dallas,4819000,810000,"Dallas-Fort Worth-Arlington, TX",19100,4620000
El Paso,4824000,385000,"El Paso, TX",21340,490000
Houston,4835000,1270000,"Houston-The Woodlands-Sugar Land, TX",26420,3490000
Killeen,4839148,76000,"Killeen-Temple, TX",28660,295000
Laredo,4841464,165000,NA,NA,NA
McAllen,4845384,71000,"McAllen-Edinburg-Mission, TX",32580,395000
San Antonio,4865000,870000,"San Antonio-New Braunfels, TX",41700,1490000
Ogden,4955980,66000,"Ogden-Clearfield, UT",36260,520000
Provo,4962470,120000,"Provo-Orem, UT",39340,615000
Salt Lake City,4967000,150000,"Salt Lake City, UT",41620,840000
Richmond,5167000,170000,"Richmond, VA",40060,935000
Virginia Beach,5182000,335000,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,1260000
Seattle,5363000,465000,"Seattle-Tacoma-Bellevue, WA",42660,2740000
Spokane,5367000,160000,"Spokane-Spokane Valley, WA",44060,445000
Huntington,5439460,47000,"Huntington-Ashland, WV-KY-OH",26580,275000
Appleton,5502375,70000,"Appleton, WI",11540,275000
Green Bay,5531000,89000,"Green Bay, WI",24580,365000
Madison,5548000,195000,"Madison, WI",31540,760000
Milwaukee,5553000,520000,"Milwaukee-Waukesha-West Allis, WI",33340,1410000
